Team,G,Date,Opp,W/L,Pts Scored,Pts Allowed,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%-opp,TOV%-opp,DRB%,FT/FGA-opp
MIA,23,2018-12-04,ORL,L,90,105,99.60,116.20,90.30,0.06,0.39,0.48,52.20,50.00,7.70,19.00,0.48,13.90,33.30,0.02,0.52,10.40,73.80,0.17
MIA,24,2018-12-07,PHO,W,115,98,115.40,98.30,99.70,0.21,0.43,0.61,48.80,76.20,10.00,11.10,0.58,11.30,13.60,0.19,0.54,18.90,89.50,0.15
MIA,25,2018-12-08,LAC,W,121,98,117.20,94.90,103.30,0.42,0.42,0.55,53.80,67.50,8.70,10.00,0.51,9.20,28.00,0.30,0.41,13.50,76.80,0.28
MIA,26,2018-12-10,LAL,L,105,108,106.70,109.70,98.40,0.14,0.36,0.53,52.10,69.00,9.10,12.10,0.51,14.60,29.20,0.11,0.53,10.80,75.00,0.13
MIA,27,2018-12-12,UTA,L,84,111,87.90,116.20,95.60,0.31,0.43,0.48,36.60,55.20,10.50,4.50,0.46,12.90,4.30,0.18,0.63,16.60,80.00,0.20
MIA,28,2018-12-14,MEM,W,100,97,113.70,110.30,88.00,0.22,0.48,0.56,59.50,83.30,3.40,14.80,0.53,15.10,36.80,0.16,0.47,6.90,78.30,0.23
MIA,29,2018-12-16,NOP,W,102,96,111.80,105.20,91.20,0.25,0.39,0.50,60.00,57.90,6.60,8.00,0.47,15.10,44.90,0.18,0.48,9.70,76.10,0.15
MIA,30,2018-12-20,HOU,W,101,99,109.00,106.80,92.70,0.37,0.42,0.47,59.80,61.10,6.50,14.30,0.43,7.70,37.70,0.21,0.46,7.80,83.70,0.28
MIA,31,2018-12-22,MIL,W,94,87,94.40,87.30,99.60,0.26,0.36,0.47,54.30,64.70,9.00,7.30,0.44,10.80,20.80,0.18,0.42,13.80,88.50,0.19
MIA,32,2018-12-23,ORL,W,115,91,126.40,100.00,91.00,0.22,0.36,0.62,49.40,62.80,12.10,7.10,0.60,10.50,24.30,0.15,0.49,18.40,71.40,0.33
MIA,33,2018-12-26,TOR,L,104,106,111.90,114.00,92.90,0.14,0.35,0.59,44.90,65.10,10.80,12.20,0.59,12.00,15.40,0.07,0.55,15.20,74.40,0.24
MIA,34,2018-12-28,CLE,W,118,94,126.50,100.80,93.30,0.18,0.34,0.60,51.70,60.40,8.60,11.40,0.58,6.70,23.30,0.13,0.46,13.40,79.50,0.23
MIA,35,2018-12-30,MIN,L,104,113,104.30,113.40,99.70,0.31,0.27,0.51,51.50,51.40,8.00,8.60,0.46,15.70,34.70,0.24,0.45,8.30,67.30,0.31
MIA,36,2019-01-02,CLE,W,117,92,131.60,103.50,88.90,0.20,0.36,0.63,68.10,65.90,9.00,6.80,0.60,12.20,39.40,0.15,0.54,12.90,94.40,0.15
MIA,37,2019-01-04,WAS,W,115,109,111.30,105.50,103.30,0.28,0.32,0.56,53.90,63.60,6.80,9.70,0.53,13.60,26.20,0.20,0.48,8.60,78.70,0.15
MIA,38,2019-01-06,ATL,L,82,106,84.20,108.90,97.30,0.31,0.39,0.41,41.00,74.20,11.30,10.40,0.39,11.60,21.10,0.17,0.53,14.90,67.40,0.11
MIA,39,2019-01-08,DEN,L,99,103,108.70,113.10,91.10,0.30,0.37,0.53,43.20,63.20,9.90,13.30,0.51,6.00,20.50,0.18,0.52,14.50,65.90,0.14
CHI,1,2018-10-18,PHI,L,108,127,99.60,117.20,108.40,0.12,0.33,0.51,41.50,63.60,3.70,10.50,0.49,10.10,10.20,0.09,0.54,10.90,75.60,0.29
CHI,2,2018-10-20,DET,L,116,118,116.10,118.10,99.90,0.30,0.24,0.59,45.60,59.10,4.00,4.90,0.55,10.10,13.90,0.24,0.49,7.50,66.70,0.18
CHI,3,2018-10-22,DAL,L,109,115,110.60,116.70,98.50,0.26,0.29,0.61,45.30,43.90,6.10,8.70,0.59,17.60,20.00,0.17,0.51,12.80,67.50,0.21
CHI,4,2018-10-24,CHO,W,112,110,119.20,117.10,93.90,0.46,0.38,0.61,55.60,56.80,4.30,10.00,0.55,13.20,24.30,0.36,0.49,5.80,81.80,0.31
CHI,5,2018-10-26,CHO,L,106,135,108.90,138.70,97.40,0.26,0.42,0.56,40.50,56.80,5.10,11.50,0.53,12.10,17.00,0.19,0.65,9.10,70.30,0.16
CHI,6,2018-10-27,ATL,W,97,85,95.30,83.60,101.70,0.19,0.40,0.54,52.00,69.40,13.80,13.60,0.51,18.20,17.80,0.16,0.39,18.90,80.00,0.23
CHI,7,2018-10-29,GSW,L,124,149,118.60,142.50,104.60,0.36,0.37,0.57,47.30,54.30,5.70,5.90,0.55,7.60,22.60,0.22,0.68,6.10,80.00,0.20
CHI,8,2018-10-31,DEN,L,107,108,105.30,106.30,92.00,0.20,0.37,0.54,43.40,69.20,6.90,8.20,0.51,11.50,20.40,0.14,0.49,13.00,66.00,0.11
CHI,9,2018-11-02,IND,L,105,107,111.50,113.70,94.10,0.10,0.35,0.56,50.60,78.60,2.10,11.90,0.55,13.10,25.00,0.09,0.51,10.40,78.00,0.23
CHI,10,2018-11-03,HOU,L,88,96,91.10,99.40,96.60,0.38,0.32,0.53,45.10,53.60,13.50,9.80,0.44,18.60,10.30,0.37,0.50,16.40,76.70,0.16
CHI,11,2018-11-05,NYK,W,116,115,103.70,102.80,92.50,0.32,0.32,0.54,43.60,34.90,8.00,11.30,0.49,14.90,21.20,0.23,0.42,12.50,63.80,0.24
CHI,12,2018-11-07,NOP,L,98,107,93.90,102.50,104.40,0.18,0.32,0.47,45.50,47.40,8.60,10.90,0.44,9.60,13.70,0.14,0.51,12.90,78.00,0.13
CHI,13,2018-11-10,CLE,W,99,98,104.80,103.80,94.40,0.26,0.22,0.54,41.80,51.30,7.40,7.10,0.52,10.80,11.60,0.17,0.47,10.80,68.80,0.13
CHI,14,2018-11-12,DAL,L,98,103,94.20,99.00,104.00,0.25,0.37,0.50,47.90,45.70,10.60,6.50,0.44,14.70,16.00,0.23,0.53,17.20,84.10,0.24
CHI,15,2018-11-14,BOS,L,82,111,81.20,109.90,101.00,0.11,0.27,0.47,48.00,48.50,7.90,5.40,0.43,20.00,14.00,0.11,0.55,11.90,83.30,0.13
CHI,16,2018-11-16,MIL,L,104,123,99.20,117.30,104.80,0.14,0.35,0.52,39.60,53.70,7.60,6.00,0.51,10.70,8.30,0.10,0.60,13.70,74.40,0.12
CHI,17,2018-11-17,TOR,L,83,122,77.00,113.10,107.80,0.24,0.31,0.44,38.60,70.00,12.10,5.60,0.40,18.80,13.20,0.17,0.62,19.50,77.10,0.14
CHI,18,2018-11-21,PHO,W,124,116,117.90,110.30,105.20,0.30,0.31,0.68,52.00,60.90,7.60,3.10,0.64,15.70,11.80,0.26,0.54,11.30,85.40,0.10
CHI,19,2018-11-23,MIA,L,96,103,92.50,99.30,103.80,0.21,0.30,0.47,51.50,65.70,7.70,11.30,0.41,14.20,22.40,0.20,0.48,12.20,80.00,0.22
CHI,20,2018-11-24,MIN,L,96,111,96.20,111.30,99.80,0.38,0.41,0.51,40.40,68.80,7.00,5.80,0.46,12.10,13.60,0.27,0.44,10.30,61.80,0.19
CHI,21,2018-11-26,SAS,L,107,108,108.00,109.00,99.10,0.12,0.37,0.56,48.30,54.80,6.10,7.90,0.54,10.40,11.40,0.10,0.54,9.30,84.40,0.09
CHI,22,2018-11-28,MIL,L,113,116,111.90,114.80,101.00,0.33,0.42,0.56,48.40,70.00,8.90,5.80,0.51,9.80,18.40,0.25,0.56,11.00,81.80,0.21
CHI,23,2018-11-30,DET,L,88,107,90.40,110.00,97.30,0.16,0.24,0.48,43.50,67.60,5.10,12.10,0.45,14.00,15.20,0.13,0.52,11.60,71.70,0.13
CHI,24,2018-12-01,HOU,L,105,121,101.80,117.40,103.10,0.27,0.36,0.53,46.60,38.50,10.70,14.00,0.49,11.70,14.60,0.22,0.59,12.60,85.00,0.25
CHI,25,2018-12-04,IND,L,90,96,91.70,97.80,98.20,0.05,0.33,0.47,49.40,70.30,8.10,3.70,0.45,15.80,23.50,0.05,0.50,17.20,84.20,0.26
CHI,26,2018-12-07,OKC,W,114,112,105.60,103.70,108.00,0.28,0.30,0.62,43.30,58.10,13.90,9.10,0.60,17.80,11.90,0.20,0.51,17.40,70.80,0.17
CHI,27,2018-12-08,BOS,L,77,133,83.40,144.10,92.30,0.17,0.30,0.44,40.70,51.60,3.20,4.00,0.42,14.70,16.30,0.11,0.66,6.60,69.00,0.12
CHI,28,2018-12-10,SAC,L,89,108,89.80,109.00,99.10,0.17,0.37,0.55,48.80,47.10,10.10,5.90,0.50,24.80,17.90,0.17,0.55,14.50,76.70,0.14
CHI,29,2018-12-13,ORL,L,91,97,94.90,101.10,95.90,0.28,0.25,0.57,43.40,52.90,10.40,8.20,0.55,18.40,2.90,0.18,0.48,14.80,78.00,0.22
CHI,30,2018-12-15,SAS,W,98,93,107.70,102.20,91.00,0.24,0.34,0.51,49.40,43.20,13.20,15.40,0.47,6.80,19.00,0.21,0.49,15.10,82.10,0.30
CHI,31,2018-12-17,OKC,L,96,121,94.80,119.50,101.20,0.19,0.26,0.52,45.60,52.60,9.90,10.30,0.49,20.00,28.90,0.14,0.53,15.50,62.20,0.30
CHI,32,2018-12-19,BRK,L,93,96,102.50,105.80,90.70,0.11,0.21,0.49,46.40,52.50,7.70,10.20,0.47,7.70,19.10,0.08,0.51,13.30,81.10,0.27
CHI,33,2018-12-21,ORL,W,90,80,104.90,93.20,85.80,0.35,0.23,0.52,51.50,69.70,5.80,11.30,0.47,7.50,20.90,0.25,0.37,7.70,75.90,0.19
CHI,34,2018-12-23,CLE,W,112,92,124.50,102.30,90.00,0.22,0.28,0.66,58.10,60.50,7.80,4.90,0.62,11.40,22.60,0.19,0.49,10.90,83.70,0.11
CHI,35,2018-12-26,MIN,L,94,119,96.00,121.60,97.90,0.17,0.24,0.46,46.40,56.40,6.10,8.20,0.44,8.90,23.10,0.10,0.55,9.80,73.30,0.17
CHI,36,2018-12-28,WAS,W,101,92,108.70,99.00,92.90,0.32,0.28,0.56,53.50,54.10,9.70,10.90,0.52,10.00,17.90,0.24,0.45,11.40,83.00,0.18
CHI,37,2018-12-30,TOR,L,89,95,95.60,102.00,93.10,0.23,0.25,0.51,45.80,48.50,7.50,3.40,0.46,15.40,16.70,0.20,0.42,9.80,68.50,0.20
CHI,38,2019-01-02,ORL,L,84,112,90.50,120.70,92.80,0.09,0.23,0.47,43.80,50.00,8.60,0.00,0.46,10.90,11.90,0.06,0.65,13.40,87.10,0.17
CHI,39,2019-01-04,IND,L,116,119,112.60,115.50,93.30,0.14,0.31,0.60,50.00,63.80,9.70,3.10,0.58,14.90,20.50,0.11,0.57,11.50,78.00,0.13
CHI,40,2019-01-06,BRK,L,100,117,106.80,125.00,93.60,0.17,0.20,0.53,53.70,48.80,6.40,10.80,0.51,11.30,25.60,0.12,0.60,8.90,84.60,0.20
WAS,1,2018-10-18,MIA,L,112,113,109.90,110.80,101.90,0.48,0.32,0.57,42.10,50.00,6.90,24.20,0.51,12.50,17.50,0.36,0.45,12.50,60.00,0.26
WAS,2,2018-10-20,TOR,L,113,117,110.70,114.70,102.00,0.36,0.44,0.55,41.60,54.10,10.80,15.30,0.49,9.60,19.10,0.29,0.50,14.10,66.70,0.33
WAS,3,2018-10-22,POR,W,125,124,105.40,104.60,107.40,0.24,0.34,0.52,43.50,50.00,5.10,10.10,0.49,7.60,18.50,0.16,0.45,13.50,71.20,0.25
WAS,4,2018-10-24,GSW,L,122,144,114.30,134.90,106.70,0.30,0.45,0.58,41.50,52.40,6.60,1.70,0.52,10.20,15.60,0.28,0.66,12.70,73.00,0.25
WAS,5,2018-10-26,SAC,L,112,116,102.80,106.50,108.90,0.27,0.49,0.58,44.20,55.00,7.30,12.10,0.55,17.90,11.40,0.21,0.54,14.60,72.50,0.15
WAS,6,2018-10-28,LAC,L,104,136,97.50,127.60,106.60,0.29,0.28,0.48,44.10,47.40,6.60,4.10,0.42,11.40,24.60,0.24,0.62,11.40,68.90,0.08
WAS,7,2018-10-30,MEM,L,95,107,99.50,112.10,95.50,0.27,0.47,0.57,49.30,75.00,9.40,15.20,0.53,19.50,13.50,0.23,0.57,14.60,84.20,0.30
WAS,8,2018-11-02,OKC,L,111,134,108.60,131.10,102.20,0.21,0.35,0.59,44.10,61.40,5.90,7.40,0.56,16.10,16.20,0.16,0.66,11.80,77.40,0.24
WAS,9,2018-11-04,NYK,W,108,95,110.30,97.10,97.90,0.47,0.31,0.54,48.00,58.30,12.30,16.70,0.47,11.50,29.40,0.36,0.45,15.20,68.10,0.13
WAS,10,2018-11-06,DAL,L,100,119,101.80,121.20,98.20,0.23,0.40,0.52,39.00,73.00,8.10,12.50,0.49,9.50,11.10,0.17,0.57,15.30,73.00,0.32
WAS,11,2018-11-09,ORL,L,108,117,109.20,118.30,98.90,0.23,0.33,0.60,46.10,57.10,8.10,5.50,0.58,16.60,16.20,0.16,0.59,13.70,74.40,0.19
WAS,12,2018-11-10,MIA,W,116,110,118.80,112.70,97.60,0.46,0.27,0.58,55.80,35.00,8.20,9.10,0.53,13.10,41.50,0.34,0.51,16.00,68.90,0.23
WAS,13,2018-11-12,ORL,W,117,109,123.60,115.10,94.70,0.42,0.42,0.63,54.70,60.00,8.40,11.90,0.59,9.70,21.20,0.30,0.57,11.30,81.00,0.09
WAS,14,2018-11-14,CLE,W,119,95,113.70,90.80,104.60,0.28,0.43,0.57,51.20,68.20,16.20,5.40,0.55,14.80,26.70,0.20,0.48,20.20,78.00,0.27
WAS,15,2018-11-16,BRK,L,104,115,103.60,114.60,100.40,0.39,0.21,0.51,50.00,48.60,5.00,7.00,0.44,11.30,26.10,0.31,0.47,9.30,72.90,0.33
WAS,16,2018-11-18,POR,L,109,119,103.80,113.30,105.00,0.22,0.33,0.52,45.30,65.10,3.80,16.10,0.52,9.50,17.30,0.10,0.52,12.90,79.10,0.35
WAS,17,2018-11-20,LAC,W,125,118,120.30,113.60,103.90,0.42,0.42,0.57,50.00,67.50,10.60,12.90,0.50,6.00,22.90,0.34,0.58,14.90,82.50,0.17
WAS,18,2018-11-23,TOR,L,107,125,105.70,123.50,101.20,0.19,0.46,0.49,46.80,70.00,7.90,13.00,0.45,10.00,27.50,0.18,0.59,12.90,69.80,0.17
WAS,19,2018-11-24,NOP,W,124,114,115.30,106.00,107.50,0.26,0.32,0.62,51.10,58.80,11.20,15.30,0.62,12.30,12.20,0.13,0.54,13.90,85.10,0.19
WAS,20,2018-11-26,HOU,W,135,131,127.90,124.10,95.60,0.36,0.33,0.66,44.20,58.00,6.60,14.30,0.62,11.20,23.10,0.27,0.57,14.90,61.70,0.22
WAS,21,2018-11-28,NOP,L,104,125,98.50,118.40,105.60,0.17,0.41,0.51,37.30,63.40,11.40,3.40,0.50,13.60,20.30,0.10,0.54,15.70,60.50,0.23
WAS,22,2018-11-30,PHI,L,98,123,94.00,117.90,104.30,0.21,0.30,0.49,42.00,59.50,9.60,6.70,0.45,13.00,16.30,0.17,0.50,9.60,66.70,0.26
WAS,23,2018-12-01,BRK,W,102,88,106.30,91.70,96.00,0.23,0.33,0.59,47.50,46.30,8.30,6.30,0.57,13.00,6.10,0.15,0.42,15.60,76.60,0.25
WAS,24,2018-12-03,NYK,W,110,107,114.20,111.10,96.30,0.13,0.35,0.56,40.90,68.20,7.30,14.30,0.55,9.30,18.20,0.10,0.48,13.50,61.20,0.23
WAS,25,2018-12-05,ATL,W,131,117,118.50,105.80,110.60,0.34,0.40,0.60,53.30,76.10,8.10,7.40,0.55,12.10,25.50,0.28,0.51,13.90,82.20,0.25
WAS,26,2018-12-08,CLE,L,101,116,114.30,131.30,88.30,0.19,0.44,0.54,40.20,68.40,3.40,5.20,0.52,7.90,17.80,0.13,0.61,7.00,67.60,0.08
WAS,27,2018-12-10,IND,L,101,109,99.40,107.30,101.60,0.27,0.34,0.51,40.50,59.50,12.80,5.40,0.48,10.90,12.20,0.19,0.60,21.20,80.00,0.22
WAS,28,2018-12-12,BOS,L,125,130,114.80,119.40,98.60,0.32,0.36,0.60,45.10,54.30,6.40,6.10,0.57,12.60,18.20,0.23,0.51,10.20,70.20,0.24
WAS,29,2018-12-14,BRK,L,118,125,121.70,128.90,97.00,0.18,0.32,0.61,36.60,61.20,3.10,5.70,0.61,8.50,10.00,0.10,0.59,8.40,71.00,0.31
WAS,30,2018-12-16,LAL,W,128,110,115.60,99.40,110.70,0.09,0.29,0.58,54.30,55.60,12.60,9.10,0.57,13.30,30.00,0.07,0.54,18.20,81.80,0.12
WAS,31,2018-12-18,ATL,L,110,118,107.00,114.70,102.80,0.43,0.48,0.56,43.00,72.20,13.60,2.10,0.51,13.20,20.00,0.30,0.54,19.30,68.30,0.41
WAS,32,2018-12-19,HOU,L,118,136,118.70,136.80,99.40,0.27,0.36,0.63,43.10,62.20,8.00,6.70,0.59,10.50,10.80,0.21,0.71,13.70,77.10,0.19
WAS,33,2018-12-22,PHO,W,149,146,122.60,120.20,92.60,0.24,0.32,0.61,51.50,71.40,4.90,6.30,0.56,15.20,35.40,0.22,0.53,9.80,65.50,0.22
WAS,34,2018-12-23,IND,L,89,105,88.60,104.50,100.50,0.34,0.46,0.51,39.40,75.00,8.00,1.50,0.43,20.10,12.80,0.32,0.49,14.30,66.00,0.10
WAS,35,2018-12-26,DET,L,95,106,98.10,109.50,96.80,0.16,0.40,0.54,40.30,44.70,14.50,9.30,0.51,15.30,14.60,0.12,0.55,20.70,69.40,0.23
WAS,36,2018-12-28,CHI,L,92,101,99.00,108.70,92.90,0.21,0.35,0.49,46.50,64.70,7.50,10.50,0.45,11.40,17.00,0.18,0.52,10.00,82.10,0.24
WAS,37,2018-12-29,CHO,W,130,126,124.60,120.80,104.30,0.26,0.40,0.63,50.60,72.90,7.70,10.20,0.59,10.40,22.50,0.23,0.59,13.70,76.70,0.21
WAS,38,2019-01-02,ATL,W,114,98,114.40,98.40,99.60,0.25,0.32,0.56,49.00,67.40,10.00,3.10,0.53,8.90,21.30,0.18,0.47,12.20,74.50,0.08
WAS,39,2019-01-04,MIA,L,109,115,105.50,111.30,103.30,0.19,0.37,0.51,46.10,57.10,7.70,3.20,0.48,8.60,21.30,0.15,0.53,13.60,73.80,0.20
WAS,40,2019-01-06,OKC,W,116,98,115.60,97.60,100.40,0.22,0.37,0.52,57.30,56.80,8.00,12.70,0.48,7.50,32.00,0.18,0.49,12.70,84.80,0.14
WAS,41,2019-01-08,PHI,L,115,132,111.80,128.30,102.90,0.25,0.38,0.62,41.00,61.90,13.60,5.50,0.58,14.60,14.30,0.20,0.65,16.10,68.30,0.19
OKC,1,2018-10-16,GSW,L,100,108,97.70,105.60,102.30,0.41,0.41,0.47,43.70,63.60,11.70,8.70,0.42,11.50,28.10,0.26,0.48,16.90,63.00,0.18
OKC,2,2018-10-19,LAC,L,92,108,93.60,109.80,98.30,0.24,0.35,0.44,52.00,52.90,5.10,7.30,0.40,10.20,28.30,0.18,0.50,12.60,78.70,0.33
OKC,3,2018-10-21,SAC,L,120,131,109.10,119.10,110.00,0.29,0.38,0.51,52.60,50.00,10.00,13.00,0.49,13.30,34.60,0.18,0.60,14.10,73.30,0.23
OKC,4,2018-10-25,BOS,L,95,101,95.00,101.00,100.00,0.27,0.30,0.45,55.90,51.40,5.00,11.10,0.43,13.20,31.40,0.15,0.45,9.90,80.40,0.28
OKC,5,2018-10-28,PHO,W,117,110,110.50,103.90,105.90,0.41,0.28,0.58,49.40,51.20,15.10,5.10,0.55,13.00,20.90,0.28,0.49,18.40,77.30,0.30
OKC,6,2018-10-30,LAC,W,128,110,116.60,100.20,109.80,0.34,0.18,0.59,51.90,39.60,14.60,11.10,0.56,12.20,22.00,0.24,0.52,20.50,84.20,0.45
OKC,7,2018-11-01,CHO,W,111,107,107.20,103.30,103.50,0.30,0.39,0.51,49.00,48.80,11.60,17.30,0.47,8.40,25.90,0.22,0.47,14.20,76.10,0.21
OKC,8,2018-11-02,WAS,W,134,111,131.10,108.60,102.20,0.30,0.37,0.69,55.90,69.40,12.70,8.90,0.66,11.80,22.60,0.24,0.56,16.10,83.80,0.16
OKC,9,2018-11-05,NOP,W,122,116,115.70,110.00,105.40,0.33,0.29,0.57,47.70,57.80,14.20,5.50,0.54,10.10,20.90,0.24,0.54,17.10,74.40,0.30
OKC,10,2018-11-07,CLE,W,95,86,96.50,87.30,98.50,0.31,0.32,0.50,46.30,28.60,13.20,15.50,0.46,11.20,15.20,0.21,0.42,16.70,75.50,0.12
OKC,11,2018-11-08,HOU,W,98,80,110.00,89.80,89.10,0.30,0.46,0.54,57.10,50.00,11.20,10.00,0.50,13.30,32.50,0.21,0.45,15.60,76.50,0.09
OKC,12,2018-11-10,DAL,L,96,111,102.20,118.10,94.00,0.19,0.35,0.46,58.20,44.70,9.60,4.20,0.44,13.20,43.30,0.11,0.65,15.90,87.10,0.14
OKC,13,2018-11-12,PHO,W,118,101,122.80,105.10,96.10,0.22,0.29,0.58,53.20,53.50,12.50,10.90,0.54,11.40,30.80,0.21,0.53,16.80,75.00,0.20
OKC,14,2018-11-14,NYK,W,128,103,125.00,100.60,102.40,0.13,0.35,0.64,56.60,62.70,10.70,11.30,0.62,13.80,32.50,0.10,0.48,15.50,79.10,0.20
OKC,15,2018-11-17,PHO,W,110,100,110.90,100.80,99.20,0.38,0.28,0.56,62.70,44.70,9.10,13.20,0.49,15.40,34.10,0.32,0.52,13.30,90.50,0.17
OKC,16,2018-11-19,SAC,L,113,117,102.60,106.20,110.10,0.15,0.38,0.49,47.30,48.90,7.30,4.70,0.47,10.20,22.40,0.10,0.52,12.10,74.10,0.11
OKC,17,2018-11-21,GSW,W,123,95,120.30,92.90,102.30,0.14,0.33,0.55,59.20,56.90,9.80,9.30,0.54,8.20,34.00,0.07,0.48,15.40,86.00,0.19
OKC,18,2018-11-23,CHO,W,109,104,107.50,102.50,101.40,0.26,0.35,0.53,50.00,58.50,5.90,3.20,0.50,11.90,23.90,0.17,0.49,11.50,76.10,0.13
OKC,19,2018-11-24,DEN,L,98,105,98.20,105.20,99.80,0.22,0.38,0.43,50.00,59.50,9.00,7.70,0.40,8.10,32.80,0.15,0.46,11.70,70.00,0.18
OKC,20,2018-11-28,CLE,W,100,83,103.80,86.20,96.30,0.17,0.31,0.54,53.80,61.00,5.20,16.70,0.51,12.30,18.20,0.14,0.44,11.40,85.70,0.04
OKC,21,2018-11-30,ATL,W,124,109,115.30,101.40,107.50,0.17,0.47,0.66,52.30,65.20,11.20,11.70,0.62,17.50,20.00,0.16,0.51,16.70,73.60,0.12
OKC,22,2018-12-03,DET,W,110,83,105.50,79.60,104.20,0.23,0.29,0.59,55.90,53.50,9.60,12.90,0.55,15.30,15.80,0.20,0.36,12.80,83.60,0.16
OKC,23,2018-12-05,BRK,W,114,112,111.30,109.30,102.50,0.26,0.38,0.52,57.10,65.10,7.80,12.00,0.50,10.50,32.70,0.15,0.52,12.40,81.10,0.27
OKC,24,2018-12-07,CHI,L,112,114,103.70,105.60,108.00,0.26,0.30,0.54,56.70,58.10,11.10,10.50,0.51,17.40,29.20,0.17,0.60,17.80,88.10,0.20
