indicator,ISO Country code,population,surface area (Km2),GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),"GDP 
(billions PPP)",GDP per capita (PPP),"GDP growth
(annual %)","health expenditure 
% of GDP","health expenditure 
per person","education expenditure
% of GDP","education expenditure 
per person ",school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Turkey,TUR,81000000,769632,40.2,26.4,0.7909999999999999,5.61,53.3,1988.3,24912.0,3.8,4.1,996.0,4.4,530.0,16.0,10.3,68.1,32.6,5,6,-1.8,0.1,0.0,-0.25,-0.19,54.5,42.0,54.7,74.7,65.4,60.0,14.6
Turkmenistan,TKM,6000000,469930,40.8,14.6,0.706,5.23,,95.5,17485.0,6.5,6.3,,,,11.0,8.6,92.2,16.1,7,7,-0.15,-1.2,-2.0,-1.49,-1.48,5.0,27.3,29.8,95.9,47.1,10.0,25.8
Tuvalu,TUV,11000,26,,,,,,,,,15.0,523.0,,,,,,,1,1,1.27,-0.7,-0.8,0.56,0.06,,,,,,,6.7
Uganda,UGA,43000000,197100,39.5,19.4,0.516,4.0,30.9,85.0,2068.0,5.0,7.3,139.0,2.3,16.0,10.0,2.3,90.9,17.4,6,4,-0.56,-0.6,-0.2,-0.3,-1.04,40.3,28.3,43.5,73.0,62.0,40.0,34.3
Ukraine,UKR,45000000,579330,25.5,26.4,0.7509999999999999,4.31,52.5,353.0,8305.0,-9.9,6.1,469.0,5.9,173.0,15.0,8.9,45.0,42.8,3,3,-1.89,-0.5,-0.3,-0.71,-0.78,29.5,29.0,41.0,80.2,51.9,30.0,12.3
United Arab Emirates,ARE,9000000,83600,,,0.863,7.04,70.4,668.9,67871.0,3.9,3.5,,,,,3.7,70.9,31.2,7,6,0.63,1.4,1.0,0.8,1.13,83.4,77.3,76.3,98.4,77.6,60.0,22.5
United Kingdom,GBR,66000000,241930,32.4,31.9,0.922,7.1,74.6,2785.6,42481.0,2.2,9.9,,5.7,,18.0,4.8,44.4,43.0,1,1,0.26,1.4,1.7,1.68,1.84,93.8,79.0,92.2,65.2,78.0,80.0,32.0
United States,USA,326000000,9147593,45.0,20.7,0.924,6.99,76.0,18569.1,57436.0,2.4,16.8,,5.0,,17.0,4.9,56.5,38.1,2,1,0.3,1.6,1.6,1.64,1.38,76.9,71.9,79.3,65.1,75.7,80.0,19.4
Uruguay,URY,3500000,175015,41.6,36.1,0.804,6.34,64.2,74.9,21527.0,1.5,9.2,,,,16.0,8.2,68.6,32.4,1,1,1.06,0.4,0.7,0.59,1.29,67.0,71.6,69.3,78.0,69.2,30.0,20.2
Uzbekistan,UZB,32000000,425400,36.8,29.1,0.71,6.42,43.1,205.7,6563.0,8.0,6.2,383.0,,,12.0,8.9,65.5,33.9,7,7,-0.28,-0.6,-1.3,-1.11,-1.16,35.3,24.2,48.7,91.0,51.5,10.0,16.0
Vanuatu,VUT,300000,12189,,40.6,0.603,,,0.7,2631.0,-0.8,3.5,106.0,4.9,3.0,,5.4,78.5,26.8,2,2,0.71,-0.9,-0.3,0.49,0.01,47.1,75.4,67.9,97.0,69.5,40.0,0.0
Venezuela,VEN,32000000,882050,39.0,33.6,0.7609999999999999,,43.1,427.0,13761.0,-5.7,3.2,579.0,,,14.0,6.9,57.3,37.7,6,5,-1.18,-1.4,-2.0,-2.26,-1.36,13.8,7.5,5.2,72.5,25.2,10.0,22.2
Vietnam,VNM,96000000,310070,34.8,40.3,0.6940000000000001,5.18,50.8,595.5,6429.0,6.7,5.7,334.0,,,,2.2,74.0,29.4,7,5,0.31,0.0,-0.4,0.07,-0.58,36.3,30.4,46.4,79.7,53.1,40.0,26.7
Yemen,YEM,28000000,527968,37.9,22.8,0.452,3.25,23.9,69.2,2375.0,-28.1,6.0,144.0,,,,17.1,80.9,25.2,7,6,-2.96,-1.9,-1.5,-1.75,-1.59,16.6,21.2,17.9,,,,0.0
Zambia,ZMB,17000000,743398,57.5,25.2,0.588,3.93,33.2,64.9,3880.0,3.6,5.4,203.0,,,,7.5,80.2,25.7,4,4,0.11,-0.6,-0.5,-0.33,-0.54,40.6,36.3,46.0,72.1,54.3,50.0,18.0
Zimbabwe,ZWE,17000000,386847,43.2,22.1,0.535,3.64,29.7,28.6,1970.0,1.5,10.3,182.0,7.5,78.0,10.0,5.1,72.0,30.6,6,5,-0.77,-1.2,-1.6,-1.38,-1.27,33.0,18.9,27.6,61.1,44.0,10.0,32.6
